Publishing Date,City,Address,Type,Description,Price (in €),Number_Room,Number_Bedroom,Surface (in m²),Latitude,Longitude,Link,Salles d'eau,Toilettes,Surface séjour,Surface terrasse,Etage,Nbre d'étages,Exposition,Salles de bain,Vue,Environnement,Surface totale,Taxe foncière,Surface terrain,Taxe habitation
30/10/22,Ducos,97224,Appartement,AppT4 en rez-de-chaussée belle vue dégagée,224700,4,3,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/223443820054475/,2,2,30.0,0.0,0,5,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Ducos,97224,Appartement,Grand appartement T4 en vente à Ducos,139900,4,3,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/211094137068686/,2,2,19.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Ducos,97224,Appartement,F2 en défiscalisation avec vue mer- programme neuf,178500,2,0,44.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/189111958972968/,1,0,0.0,0.0,0,2,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Ducos,97224,Appartement,F2 en défiscalisation avec vue mer- programme neuf,178500,2,0,44.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/189150896957186/,1,0,0.0,0.0,0,2,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Ducos,97224,Appartement,Dans un quartier calme et ventilé de Ducos un programme neuf,204750,3,2,58.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/188294163633011/,1,0,0.0,0.0,2,0,0,0,0,0,59.0,0.0,0.0,0.0
30/10/22,Ducos,97224,Appartement,Dans un quartier calme et ventilé de Ducos un programme neuf,178500,2,0,44.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/188294163633005/,1,0,0.0,0.0,2,0,0,0,0,0,45.0,0.0,0.0,0.0
30/10/22,Ducos,97224,Appartement,"Martinique (972), DUCOS Programme Neuf T3 de 64 m²",220000,3,2,64.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/185115557484624/,0,0,0.0,0.0,0,2,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Ducos,97224,Appartement,"Dpt Martinique (972),DUCOS appartT3 de 76 m² Programme NEUF",260000,3,2,77.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/176145473962369/,0,0,0.0,0.0,2,2,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Ducos,97224,Appartement,"Dpt Martinique (972), DUCOS appart T2 de 37 m² + terrasse Pr",170000,2,0,37.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/176222529526853/,0,0,0.0,0.0,0,2,0,0,0,0,0.0,0.0,0.0,0.0
30/10/22,Ducos,97224,Appartement,GRAND APPARTEMENT F3 - 90 M² - DUCOS,146000,3,2,70.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/176121281768664/,1,1,0.0,0.0,0,0,0,0,Campagne,Résidentiel,90.0,0.0,0.0,0.0
30/01/23,Le Diamant,97223,Appartement,Studio neuf avec terrasse pour investir au Diamant,189000,1,0,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231304297649327/,1,1,11.0,0.0,0,3,0,0,0,0,0.0,0.0,0.0,0.0
