Publishing Date,City,Address,Type,Description,Price (in €),Number_Room,Number_Bedroom,Surface (in m²),Latitude,Longitude,Link
30/10/22,Ducos,97224,Terrain,Terrain de 1470 m2 à Ducos,150000,0,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221041516790832/
30/10/22,Ducos,97224,Maison / Villa,Grande villa F7 avec vue mer et beau terrain,574750,7,5,217.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/221041516790691/
30/10/22,Ducos,97224,Appartement,APPARTEMENTS NEUFS T3 A 165 168€,165168,3,2,44.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/229271328540711/
30/10/22,Ducos,97224,Appartement,APPARTEMENTS NEUFS STUDIOS A 99 675€,99675,1,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/229261918126536/
30/10/22,Ducos,97224,Appartement,Appartement T5 (4 chambres) à Ducos,199500,5,4,100.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/229742433891621/
30/10/22,Ducos,97224,Appartement,DUCOS VILLA T4,296800,4,3,100.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/228304309264805/
30/10/22,Ducos,97224,Maison / Villa,CHARMANTE VILLA,459800,7,5,145.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/228343731373435/
30/10/22,Ducos,97224,Appartement,BEL APPARTEMENT,258940,4,3,80.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/228343731373432/
30/10/22,Ducos,97224,Appartement,CHARMENT APPARTEMENT T3,213840,3,2,65.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/228343731373429/
30/10/22,Ducos,97224,Appartement,"Vends T2 à 5mns Aéroport, Ducos",106870,2,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/227124433320219/
30/10/22,Ducos,97224,Fonds de commerce,Vente Fonds de commerce 100 m2 à Ducos,330000,0,0,100.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/226214451426458/
30/10/22,Ducos,97224,Appartement,VILLA T3 80M2 - DUCOS - INVESTISSEMENT,246100,3,2,80.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/226104452563926/
30/10/22,Ducos,97224,Maison / Villa,Vente Villa 4 pièces 113 m2 à Fort de France,190000,4,0,113.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/226104341145611/
30/10/22,Ducos,97224,Appartement,Appartement 3 pièces avec balcon en vente à Ducos,137500,3,2,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/226143122266929/
